epoch,c1_accuracy,c1_loss,c2_accuracy,c2_loss,c3_accuracy,c3_loss,c4_accuracy,c4_loss,c5_accuracy,c5_loss,c6_accuracy,c6_loss,c7_accuracy,c7_loss,loss,val_c1_accuracy,val_c1_loss,val_c2_accuracy,val_c2_loss,val_c3_accuracy,val_c3_loss,val_c4_accuracy,val_c4_loss,val_c5_accuracy,val_c5_loss,val_c6_accuracy,val_c6_loss,val_c7_accuracy,val_c7_loss,val_loss
0,0.9600166082382202,0.2761452794075012,0.9117206931114197,0.5611484050750732,0.03441396355628967,3.5401055812835693,0.07198669761419296,3.2825264930725098,0.08453865349292755,3.035227060317993,0.10054031759500504,2.6763341426849365,0.09696591645479202,2.9750123023986816,16.346500396728516,0.9640957713127136,0.2311246693134308,0.9160571694374084,0.5115315318107605,0.035571809858083725,3.5156662464141846,0.06948138028383255,3.2612037658691406,0.0887632966041565,3.0105206966400146,0.09724069386720657,2.644580364227295,0.10821143537759781,2.928826093673706,16.103456497192383
1,0.9573981761932373,0.28277599811553955,0.9465503096580505,0.26048266887664795,0.5871986746788025,1.4229788780212402,0.6264339089393616,1.333931565284729,0.6753532886505127,1.1617249250411987,0.7308811545372009,0.9486356377601624,0.6694513559341431,1.1867246627807617,6.597248554229736,0.970079779624939,0.20212309062480927,0.9928523898124695,0.02783762663602829,0.9931848645210266,0.03210843354463577,0.9760638475418091,0.07731714099645615,0.9832114577293396,0.05710401013493538,0.9838763475418091,0.05870336666703224,0.9767287373542786,0.07434865832328796,0.5295422673225403
2,0.9590606689453125,0.24894289672374725,0.9865336418151855,0.04786897078156471,0.9570656418800354,0.13789503276348114,0.9516209363937378,0.1558673232793808,0.9637157320976257,0.1228601336479187,0.970116376876831,0.10517019033432007,0.9487115740776062,0.17067281901836395,0.9892779588699341,0.9737367033958435,0.15304379165172577,0.9980053305625916,0.007452035788446665,0.9976728558540344,0.009418035857379436,0.9958444237709045,0.016065480187535286,0.997839093208313,0.009491090662777424,0.9973404407501221,0.009089863859117031,0.996509313583374,0.01482822559773922,0.21938852965831757
3,0.9637157320976257,0.19301563501358032,0.9931421279907227,0.026212992146611214,0.9799667596817017,0.06925825774669647,0.9787614345550537,0.0751144140958786,0.9847880005836487,0.05335565656423569,0.9852452278137207,0.048161305487155914,0.9765586256980896,0.0784047544002533,0.543522834777832,0.984375,0.12698903679847717,0.9993351101875305,0.006026500836014748,0.9975066781044006,0.008272606879472733,0.9971742033958435,0.013352782465517521,0.9976728558540344,0.006441805511713028,0.9985039830207825,0.005615347996354103,0.9976728558540344,0.010312069207429886,0.17701007425785065
4,0.9743557572364807,0.132975235581398,0.9953033924102783,0.016758423298597336,0.9843723773956299,0.052565738558769226,0.9844139814376831,0.05537834390997887,0.9897339940071106,0.03605668991804123,0.9908977746963501,0.030312255024909973,0.9816707968711853,0.060282617807388306,0.3843291401863098,0.9845412373542786,0.09961061179637909,0.9990026354789734,0.006974592339247465,0.9983377456665039,0.007877507247030735,0.9971742033958435,0.011679759249091148,0.9985039830207825,0.004587555304169655,0.998670220375061,0.005185502115637064,0.9980053305625916,0.008215569891035557,0.144131138920784
5,0.9784289002418518,0.10712679475545883,0.996259331703186,0.011593989096581936,0.9884455800056458,0.038971029222011566,0.9882792830467224,0.04028450325131416,0.991645872592926,0.02909725531935692,0.9925602674484253,0.02563319355249405,0.9878221154212952,0.040586285293102264,0.2932931184768677,0.987865686416626,0.09487573802471161,0.999168872833252,0.006122151389718056,0.9981715679168701,0.007220310624688864,0.9971742033958435,0.010634759441018105,0.998670220375061,0.004793333355337381,0.9983377456665039,0.0036926311440765858,0.9975066781044006,0.007673963438719511,0.1350128948688507
6,0.9809642434120178,0.0925445556640625,0.9971737265586853,0.009459778666496277,0.9915627837181091,0.030815111473202705,0.9892768263816833,0.036727748811244965,0.992851197719574,0.022599423304200172,0.9938487410545349,0.020176339894533157,0.9881545901298523,0.04151935875415802,0.2538423538208008,0.9876994490623474,0.07875882089138031,0.9990026354789734,0.0061605339869856834,0.9985039830207825,0.006219274364411831,0.9966755509376526,0.012396079488098621,0.9985039830207825,0.004308763425797224,0.999168872833252,0.003131189616397023,0.9983377456665039,0.006507331971079111,0.11748199909925461
7,0.9823774099349976,0.07894289493560791,0.9976308941841125,0.008547640405595303,0.9913549423217773,0.030488271266222,0.9904821515083313,0.03175538033246994,0.9950540065765381,0.018658781424164772,0.9951786994934082,0.01678740605711937,0.9902327656745911,0.03403983637690544,0.21922029554843903,0.9881981611251831,0.07690542936325073,0.9993351101875305,0.005928549915552139,0.9981715679168701,0.005406925454735756,0.9973404407501221,0.009088450111448765,0.9993351101875305,0.0033120953012257814,0.9985039830207825,0.0029545712750405073,0.9981715679168701,0.0071484907530248165,0.11074451357126236
8,0.9849958419799805,0.06557717174291611,0.9977140426635742,0.008253458887338638,0.9913964867591858,0.027963344007730484,0.9908146262168884,0.030532151460647583,0.9938902854919434,0.021559612825512886,0.9949709177017212,0.015739502385258675,0.9904405474662781,0.030360937118530273,0.19998610019683838,0.9895279407501221,0.06726143509149551,0.999168872833252,0.007048992905765772,0.9983377456665039,0.005208048969507217,0.9971742033958435,0.009839191101491451,0.9993351101875305,0.002744950819760561,0.999168872833252,0.0019392542308196425,0.9980053305625916,0.008265466429293156,0.10230735689401627
9,0.987032413482666,0.05496469512581825,0.997921884059906,0.00767102837562561,0.9916874766349792,0.02588118240237236,0.992103099822998,0.027787871658802032,0.9944721460342407,0.016109943389892578,0.9957606196403503,0.01451499480754137,0.9926018118858337,0.025993600487709045,0.17292334139347076,0.9890292286872864,0.08434277772903442,0.9995013475418091,0.007536000572144985,0.9988364577293396,0.0061737773939967155,0.9973404407501221,0.010832950472831726,0.999168872833252,0.003989414311945438,0.997839093208313,0.006760956719517708,0.997839093208313,0.0072734178975224495,0.1269092559814453
